bct2010,population,population_error
2000100,6864,331
2000200,4532,471
2000400,5516,558
2001600,5825,398
2001900,3141,341
2002000,9040,924
2002300,4302,342
2002400,155,209
2002500,5610,617
2002701,2608,362
2002702,4560,485
2002800,5151,616
2003100,1689,222
2003300,3277,430
2003500,3907,443
2003700,250,95
2003800,1350,202
2003900,6260,918
2004001,1475,182
2004100,5942,799
2004200,7697,818
2004300,5552,510
2004400,4401,336
2004600,1961,200
2004800,4563,414
2005001,4604,388
2005002,5592,514
2005100,5737,559
2005200,1956,219
2005300,4888,411
2005400,5324,556
2005600,2279,251
2005902,2751,273
2006000,1386,316
2006100,3720,417
2006200,7233,670
2006300,4582,356
2006400,3932,495
2006500,5377,593
2006700,6705,746
2006800,3230,384
2006900,7801,742
2007000,4378,537
2007100,2795,301
2007200,6255,771
2007300,4297,325
2007400,3634,403
2007500,6692,583
2007600,5311,651
2007700,2022,230
2007800,7415,664
2007900,7188,807
2008300,6713,666
2008400,2899,271
2008500,5631,574
2008600,3936,434
2008700,6127,418
2008900,3218,335
2009000,3459,450
2009200,5848,472
2009300,6154,783
2009600,2792,254
2009800,4756,622
2011000,0,12
2011502,4582,638
2011700,1443,291
2011800,5503,438
2011900,5440,505
2012101,3070,294
2012102,1447,199
2012300,4268,589
2012500,3860,488
2012701,1928,280
2012901,4419,559
2013000,1476,199
2013100,5084,454
2013200,7272,594
2013300,6000,720
2013500,3590,451
2013800,2588,324
2014100,5851,521
2014300,1482,227
2014400,5138,696
2014500,7436,1146
2014701,7003,696
2014702,5435,444
2014900,4419,421
2015100,5309,468
2015200,2481,225
2015300,4474,437
2015500,2927,299
2015700,4704,484
2015800,1314,260
2015900,1969,267
2016000,3666,372
2016100,4650,483
2016200,1870,255
2016300,0,12
2016400,1046,177
2016500,965,152
2016600,2244,249
2016700,3695,427
2016900,1633,296
2017100,0,12
2017300,5746,499
2017500,6536,594
2017701,4650,538
2017702,5423,522
2017901,4831,498
2017902,4032,444
2018101,3351,450
2018102,5294,479
2018301,4320,352
2018302,3824,447
2018400,3793,419
2018500,9001,833
2018900,8210,769
2019300,6350,530
2019400,2375,255
2019500,7060,602
2019700,7561,799
2019900,8338,791
2020000,4711,447
2020100,3993,344
2020200,2385,238
2020400,3011,365
2020501,6976,592
2020502,2160,222
2020601,2237,367
2020900,4287,420
2021001,8930,681
2021002,7613,636
2021100,5343,371
2021200,4850,431
2021301,1267,144
2021302,5513,732
2021501,4565,441
2021502,6532,555
2021601,4720,425
2021602,5632,607
2021700,5124,449
2021800,6520,731
2021900,882,118
2022000,2007,297
2022101,4133,401
2022102,5411,420
2022200,3293,374
2022300,5278,416
2022401,2498,332
2022403,3194,299
2022404,4203,338
2022500,8499,808
2022701,5151,481
2022702,1607,182
2022703,1688,186
2022800,6128,573
2022901,5743,549
2022902,3614,465
2023000,2802,339
2023100,1537,252
2023200,2476,279
2023301,3956,378
2023302,3706,432
2023501,3184,368
2023502,4153,609
2023600,1816,281
2023702,1180,157
2023703,5574,540
2023704,3803,342
2023800,2241,250
2023900,7873,726
2024000,3903,488
2024100,6621,534
2024300,5737,422
2024400,2146,187
2024501,4871,462
2024502,3677,396
2024600,2011,225
2024700,2058,234
2024800,3078,276
2024900,0,12
2025000,2591,305
2025100,7360,872
2025200,2787,258
2025300,6199,490
2025400,1997,201
2025500,7674,693
2025600,1696,267
2025700,1999,349
2026100,2097,139
2026300,6218,801
2026400,4868,667
2026500,7851,941
2026601,3452,359
2026602,5084,552
2026701,4185,503
2026702,7895,780
2026900,3703,330
2027300,7778,997
2027401,4693,437
2027402,3481,325
2027600,24,28
2027700,4660,617
2027900,7379,705
2028100,3954,339
2028300,2489,328
2028400,554,188
2028500,3523,276
2028600,1085,197
2028700,3153,376
2028800,3330,438
2028900,4807,418
2029301,1806,158
2029302,5569,459
2029500,4564,420
2029600,1575,225
2029700,3799,322
2030000,6021,708
2030100,1413,173
2030200,8704,885
2030701,5726,439
2030900,3709,361
2031000,4753,536
2031200,1678,208
2031400,2079,264
2031600,1900,208
2031800,2179,255
2031900,633,217
2032300,4575,381
2032400,3177,551
2032600,3407,443
2032800,3839,421
2033000,5776,618
2033201,5564,829
2033202,4033,474
2033400,15,18
2033500,2048,232
2033600,6714,759
2033700,2521,220
2033800,4105,543
2034000,5606,607
2034200,1888,275
2034300,1665,158
2034400,2172,281
2034500,3540,433
2034800,5707,599
2035000,2063,247
2035100,3740,274
2035600,2254,359
2035800,8172,796
2035900,2053,204
2036000,3271,342
2036100,5576,545
2036300,7517,720
2036400,2565,290
2036501,3901,408
2036502,2620,329
2036700,2395,298
2036800,2109,288
2036901,2101,193
2036902,2074,213
2037000,2416,307
2037100,4226,485
2037200,2132,285
2037300,6373,681
2037400,3861,573
2037504,3323,371
2037600,2197,236
2037800,2900,360
2037900,5469,485
2038000,5239,681
2038100,7647,726
2038200,3100,372
2038301,5084,435
2038302,6032,526
2038500,4766,520
2038600,8889,997
2038700,3823,447
2038800,2763,311
2038900,5521,688
2039000,2861,530
2039100,7544,847
2039200,1602,259
2039300,8330,697
2039400,5647,617
2039500,4257,508
2039600,5022,572
2039700,3744,401
2039800,3842,515
2039901,5618,506
2039902,5646,482
2040100,4478,528
2040302,4192,379
2040303,4900,462
2040304,3593,404
2040400,3600,492
2040501,4399,534
2040502,7264,740
2040600,3547,523
2040701,3120,354
2040702,7023,697
2040800,4826,531
2040900,3194,349
2041100,3510,431
2041300,8677,733
2041400,5158,485
2041500,6367,546
2041800,3876,521
2041900,6035,736
2042000,4206,584
2042100,5661,677
2042200,3285,565
2042300,4313,481
2042400,2569,257
2042500,6175,684
2042600,6729,717
2042800,2120,208
2042901,3561,392
2042902,4041,477
2043000,3499,544
2043100,10246,904
2043400,3710,406
2043500,499,188
2043600,2020,313
2044200,4019,483
2044400,4295,387
2044800,2075,328
2044901,1763,154
2044902,2041,213
2045101,1455,158
2045102,1955,227
2045600,3220,415
2045800,5744,473
2046000,3246,608
2046201,28109,2129
2046202,9912,818
2048400,4277,506
2050400,0,12
2051600,4531,633
4000100,9505,999
4000200,3019,343
4000400,4476,582
4000600,4107,512
